legacy_url,filename,referenced_from,source_types,status,notes
https://mackysoft.net/wp-content/uploads/2020/05/New-Leaderboard-%C2%B7-PlayFab-Google-Chrome-2020-05-26-18.24.12-1-768x331.png,New-Leaderboard-·-PlayFab-Google-Chrome-2020-05-26-18.24.12-1-768x331.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/New-Leaderboard-%C2%B7-PlayFab-Google-Chrome-2020-05-26-18.24.12-1.png,New-Leaderboard-·-PlayFab-Google-Chrome-2020-05-26-18.24.12-1.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/PlayFab-Party.png,PlayFab-Party.png,/playfab-authenticationcontext/|/playfab-getplayerprofile/|/playfab-leaderboard/|/playfab-login/|/playfab-update-display-name/,post-featured-media,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/Steps-%C2%B7-PlayFab-Google-Chrome-2020-05-26-20.43.43-1024x232.png,Steps-·-PlayFab-Google-Chrome-2020-05-26-20.43.43-1024x232.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/Steps-%C2%B7-PlayFab-Google-Chrome-2020-05-26-20.43.43-1536x348.png,Steps-·-PlayFab-Google-Chrome-2020-05-26-20.43.43-1536x348.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/Steps-%C2%B7-PlayFab-Google-Chrome-2020-05-26-20.43.43-300x68.png,Steps-·-PlayFab-Google-Chrome-2020-05-26-20.43.43-300x68.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/Steps-%C2%B7-PlayFab-Google-Chrome-2020-05-26-20.43.43-768x174.png,Steps-·-PlayFab-Google-Chrome-2020-05-26-20.43.43-768x174.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/05/Steps-%C2%B7-PlayFab-Google-Chrome-2020-05-26-20.43.43.png,Steps-·-PlayFab-Google-Chrome-2020-05-26-20.43.43.png,/playfab-leaderboard/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%80%8C%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9%E3%81%95%E3%82%8C%E3%81%AA%E3%81%84%E7%A5%9E%E3%82%B2%E3%83%BC%E3%82%88%E3%82%8A%E3%80%81%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9%E3%81%95%E3%82%8C%E3%81%9F%E3%82%AF%E3%82%BD%E3%82%B2%E3%83%BC%E3%81%AE%E6%96%B9%E3%81%8C%E4%BE%A1%E5%80%A4%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%80%8D%E3%81%AE%E8%A3%9C%E8%B6%B3-150x150.png,「リリースされない神ゲーより、リリースされたクソゲーの方が価値があります」の補足-150x150.png,/blog/,page-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%80%8C%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9%E3%81%95%E3%82%8C%E3%81%AA%E3%81%84%E7%A5%9E%E3%82%B2%E3%83%BC%E3%82%88%E3%82%8A%E3%80%81%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9%E3%81%95%E3%82%8C%E3%81%9F%E3%82%AF%E3%82%BD%E3%82%B2%E3%83%BC%E3%81%AE%E6%96%B9%E3%81%8C%E4%BE%A1%E5%80%A4%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%80%8D%E3%81%AE%E8%A3%9C%E8%B6%B3.png,「リリースされない神ゲーより、リリースされたクソゲーの方が価値があります」の補足.png,/value-of-the-game/,post-featured-media,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88-300x225.jpg,イラスト-300x225.jpg,/weighted-random/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88-768x576.jpg,イラスト-768x576.jpg,/weighted-random/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88.jpg,イラスト.jpg,/weighted-random/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88-2020-06-08-211824-300x292.png,コメント-2020-06-08-211824-300x292.png,/playfab-update-display-name/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88-2020-06-08-211824.png,コメント-2020-06-08-211824.png,/playfab-update-display-name/,post-content,referenced,
https://mackysoft.net/wp-content/uploads/2020/06/%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88-2020-06-09-211024-300x289.png,コメント-2020-06-09-211024-300x289.png,/cinemachine-impulse-scriptableobject/,post-content,referenced,
